region,area,center,"Код субъекта (ГАИ, МВД)",Код ОКАТО,subject_type,район,город,пгт,ЗАТО,административный округ,муниципальный район,муниципальный округ,городской округ,внутригородское муниципальное образование,количество субъектов
Республика Адыгея,7792,Майкоп,01,79,Республика,7.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,-1.0
Республика Алтай,92903,Горно-Алтайск,04,84,Республика,10.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,-1.0
Республика Башкортостан,142947,Уфа,02,80,Республика,54.0,21.0,0.0,0.0,0.0,54.0,0.0,9.0,0.0,-1.0
Республика Бурятия,351334,Улан-Удэ,03,81,Республика,21.0,2.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,-1.0
Республика Дагестан,50270,Махачкала,05,82,Республика,41.0,10.0,0.0,0.0,0.0,42.0,0.0,10.0,0.0,-1.0
Донецкая Народная Республика,26517,Донецк,80,21,Республика,18.0,12.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,-1.0
Республика Ингушетия,3123,Магас,06,26,Республика,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,-1.0
Кабардино-Балкарская Республика,12470,Нальчик,07,83,Республика,10.0,3.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,-1.0
Республика Калмыкия,74731,Элиста,08,85,Республика,13.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,-1.0
Карачаево-Черкесская Республика,14277,Черкесск,09,91,Республика,10.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,-1.0
Республика Карелия,180520,Петрозаводск,10,86,Республика,16.0,13.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,-1.0
Республика Коми,416774,Сыктывкар,11,87,Республика,12.0,8.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,-1.0
Республика Крым,26081,Симферополь,82,35,Республика,18.0,16.0,0.0,0.0,0.0,14.0,0.0,11.0,0.0,-1.0
Луганская Народная Республика,26683,Луганск,81,43,Республика,17.0,11.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,-1.0
Республика Марий Эл,23375,Йошкар-Ола,12,88,Республика,14.0,4.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,-1.0
Республика Мордовия,26128,Саранск,13,89,Республика,22.0,7.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,-1.0
Республика Саха (Якутия),3083523,Якутск,14,98,Республика,33.0,5.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,-1.0
Республика Северная Осетия - Алания,7987,Владикавказ,15,90,Республика,8.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,-1.0
Республика Татарстан,67847,Казань,16,92,Республика,43.0,14.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,-1.0
Республика Тыва,168604,Кызыл,17,93,Республика,17.0,2.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,-1.0
Удмуртская Республика,42061,Ижевск,18,94,Республика,25.0,5.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,-1.0
Республика Хакасия,61569,Абакан,19,95,Республика,8.0,5.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,-1.0
Чеченская Республика,16171,Грозный,20 / 95,96,Республика,17.0,6.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,-1.0
Чувашская Республика - Чувашия,18343,Чебоксары,21,97,Республика,21.0,9.0,0.0,0.0,0.0,21.0,0.0,5.0,0.0,-1.0
Алтайский край,167996,Барнаул,22,1,Край,60.0,11.0,0.0,0.0,0.0,60.0,0.0,11.0,0.0,-1.0
Забайкальский край,431892,Чита,75,76,Край,31.0,12.0,0.0,0.0,0.0,31.0,0.0,4.0,0.0,-1.0
Камчатский край,464275,Петропавловск-Камчатский,41,30,Край,11.0,3.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,-1.0
Краснодарский край,75485,Краснодар,23,3,Край,37.0,15.0,0.0,0.0,0.0,37.0,0.0,8.0,0.0,-1.0
Красноярский край,2366797,Красноярск,24,4,Край,54.0,19.0,0.0,0.0,0.0,44.0,0.0,17.0,0.0,-1.0
Пермский край,160236,Пермь,59,57,Край,33.0,14.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,-1.0
Приморский край,164673,Владивосток,25,5,Край,22.0,12.0,0.0,0.0,0.0,22.0,0.0,12.0,0.0,-1.0
Ставропольский край,66160,Ставрополь,26,7,Край,26.0,10.0,0.0,0.0,0.0,26.0,0.0,9.0,0.0,-1.0
Хабаровский край,787633,Хабаровск,27,8,Край,17.0,6.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,-1.0
Амурская область,361908,Благовещенск,28,10,Область,20.0,7.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,-1.0
Архангельская область,589913,Архангельск,29,11,Область,20.0,8.0,0.0,0.0,0.0,19.0,0.0,7.0,0.0,-1.0
Астраханская область,49024,Астрахань,30,12,Область,11.0,3.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,-1.0
Белгородская область,27134,Белгород,31,14,Область,21.0,6.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,-1.0
Брянская область,34857,Брянск,32,15,Область,27.0,5.0,0.0,0.0,0.0,27.0,0.0,6.0,0.0,-1.0
Владимирская область,29084,Владимир,33,17,Область,16.0,10.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,-1.0
Волгоградская область,112877,Волгоград,34,18,Область,32.0,6.0,0.0,0.0,0.0,32.0,0.0,6.0,0.0,-1.0
Вологодская область,144527,Вологда,35,19,Область,26.0,4.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,-1.0
Воронежская область,52216,Воронеж,36,20,Область,32.0,15.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,-1.0
Запорожская область,27183,Мелитополь,85,23,Область,13.0,3.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,-1.0
Ивановская область,21437,Иваново,37,24,Область,21.0,6.0,0.0,0.0,0.0,21.0,0.0,6.0,0.0,-1.0
Иркутская область,774846,Иркутск,38,25,Область,33.0,14.0,0.0,0.0,0.0,27.0,0.0,9.0,0.0,-1.0
Калининградская область,15125,Калининград,39,27,Область,13.0,8.0,1.0,0.0,0.0,0.0,12.0,10.0,0.0,-1.0
Калужская область,29777,Калуга,40,29,Область,24.0,4.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,-1.0
Кемеровская область - Кузбасс,95725,Кемерово,42,32,Область,19.0,18.0,0.0,0.0,0.0,18.0,0.0,16.0,0.0,-1.0
Кировская область,120374,Киров,43,33,Область,39.0,5.0,0.0,0.0,0.0,39.0,0.0,6.0,0.0,-1.0
Костромская область,60211,Кострома,44,34,Область,24.0,8.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,-1.0
Курганская область,71488,Курган,45,37,Область,24.0,9.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,-1.0
Курская область,29997,Курск,46,38,Область,28.0,5.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,-1.0
Ленинградская область,83908,"Гатчина (де-юре),  Санкт-Петербург (до 2023 года)",47,41,Область,17.0,20.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,-1.0
Липецкая область,24047,Липецк,48,42,Область,18.0,2.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,-1.0
Магаданская область,462464,Магадан,49,44,Область,8.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,-1.0
Московская область,44329,"Москва, правительство в Красногорске",50,46,Область,0.0,52.0,3.0,5.0,0.0,0.0,0.0,60.0,0.0,-1.0
Мурманская область,144902,Мурманск,51,47,Область,5.0,13.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,-1.0
