feature 1,feature 2,correlation
population,population_of_working_age,0.9985750945331808
morbidity_gepatitB_age_18_over,morbidity_gepatitB_age_all,0.9970815311136263
morbidity_tuberkulez_18_over,morbidity_tuberkulez_all,0.995200990585035
morbidity_malyariya_age_18_over,morbidity_malyariya_age_all,0.9876030141692238
population_below_working_age,population_of_working_age,0.9763884584794393
crimes_alco_intoxication_all,crimes_alco_intoxication_minor,0.9763163968901818
population,population_below_working_age,0.9742228586345394
crimes_prev_committed_crimes_all,crimes_prev_committed_crimes_minor,0.9683046214946766
population,population_above_working_age,0.9660766681329452
crimes_involving_minors_all,crimes_involving_minors_moderate,0.9648628035748743
crimes_prev_committed_crimes_all,crimes_prev_convicted_all,0.9646774772662324
crimes_prev_committed_crimes_moderate,crimes_prev_convicted_moderate,0.9626987296446375
population_above_working_age,population_of_working_age,0.9592956197434785
crimes_prev_committed_crimes_minor,crimes_prev_convicted_minor,0.9543098900132629
crimes_prev_convicted_all,crimes_prev_convicted_minor,0.9406039866833735
crimes_prev_committed_crimes_serious,crimes_prev_convicted_serious,0.935317759817104
crimes_alco_intoxication_moderate,crimes_alco_intoxication_serious,0.9303411225339694
crimes_alco_intoxication_all,crimes_alco_intoxication_moderate,0.9289693414718145
crimes_prev_committed_crimes_minor,crimes_prev_convicted_all,0.9287098235766817
crimes_alco_intoxication_all,crimes_alco_intoxication_serious,0.9237304384570104
crimes_criminal_organization_all,crimes_criminal_organization_especially_serious,0.9230426817013504
crimes_prev_committed_crimes_especially_serious,crimes_prev_convicted_especially_serious,0.9226367995154038
crimes_prev_committed_crimes_all,crimes_prev_convicted_minor,0.9136703035809806
crimes_alco_intoxication_all,crimes_prev_committed_crimes_all,0.9122646325348731
disabled_31_40,disabled_41_50,0.9067741782826332
crimes_involving_minors_all,crimes_involving_minors_serious,0.9062654947449152
crimes_involving_minors_all,crimes_involving_minors_minor,0.9036758804431523
population_above_working_age,population_below_working_age,0.9015735100680352
production_industry,production_manufacturing,0.8968618189756374
per_capita_cash_income,retail_turnover_per_capita,0.8930881246174021
crimes_alco_intoxication_minor,crimes_prev_committed_crimes_all,0.889318060247232
crimes_alco_intoxication_minor,crimes_prev_committed_crimes_minor,0.8893067635859144
crimes_alco_intoxication_especially_serious,crimes_alco_intoxication_serious,0.8883511949082611
crimes_prev_committed_crimes_all,crimes_prev_committed_crimes_moderate,0.8872742804942686
disabled_18_30,disabled_31_40,0.8847243233836238
crimes_alco_intoxication_moderate,crimes_prev_committed_crimes_moderate,0.8798963393932289
crimes_group_persons_by_prior_conspiracy_all,crimes_group_persons_by_prior_conspiracy_moderate,0.8798114617757619
crimes_prev_committed_crimes_all,crimes_prev_committed_crimes_serious,0.8792796027483251
crimes_alco_intoxication_all,crimes_prev_committed_crimes_minor,0.8773835955380019
crimes_alco_intoxication_moderate,crimes_involving_minors_all,0.8771686536577978
production_housing_and_utilities,production_industry,0.8727110910281638
disabled_41_50,disabled_51_60,0.8686223115099204
crimes_alco_intoxication_serious,crimes_involving_minors_all,0.8680348450098068
crimes_prev_committed_crimes_moderate,crimes_prev_convicted_all,0.8673741429803157
crimes_prev_convicted_all,crimes_prev_convicted_moderate,0.8648268985107948
crimes_alco_intoxication_all,crimes_alco_intoxication_especially_serious,0.8644756993912421
crimes_involving_minors_moderate,crimes_prev_committed_crimes_moderate,0.8641390234311075
crimes_involving_minors_all,crimes_prev_committed_crimes_all,0.864029720599981
crimes_alco_intoxication_moderate,crimes_involving_minors_moderate,0.8634145105309309
crimes_alco_intoxication_especially_serious,crimes_alco_intoxication_moderate,0.8626712865944137
crimes_alco_intoxication_all,crimes_involving_minors_all,0.8609359619748274
crimes_alco_intoxication_serious,crimes_prev_committed_crimes_serious,0.8606837716437925
crimes_alco_intoxication_all,crimes_prev_convicted_all,0.860309149929289
crimes_involving_minors_minor,crimes_prev_committed_crimes_all,0.8596014949758501
crimes_prev_convicted_all,crimes_prev_convicted_serious,0.8567561972873358
crimes_alco_intoxication_moderate,crimes_prev_committed_crimes_all,0.8531586686304539
crimes_involving_minors_moderate,crimes_involving_minors_serious,0.8528576278720998
crimes_alco_intoxication_all,crimes_involving_minors_minor,0.8528570823393121
crimes_drug_intoxication_all,crimes_drug_intoxication_minor,0.8525914982631473
crimes_prev_committed_crimes_serious,crimes_prev_convicted_all,0.8505521930178084
crimes_alco_intoxication_minor,crimes_alco_intoxication_serious,0.846458221893296
crimes_alco_intoxication_minor,crimes_alco_intoxication_moderate,0.8458314098477576
formal_wage_paid,gross_regional_product,0.8454772678387711
crimes_drug_intoxication_all,crimes_drug_intoxication_serious,0.8444588792353912
crimes_involving_minors_minor,crimes_prev_committed_crimes_minor,0.8442320807650306
crimes_involving_minors_all,crimes_prev_committed_crimes_moderate,0.8425822458006952
crimes_alco_intoxication_serious,crimes_prev_committed_crimes_all,0.8413151878421057
production_housing_and_utilities,production_manufacturing,0.8411054848327102
population_above_working_age,production_manufacturing,0.8409522808526467
crimes_involving_minors_minor,crimes_prev_convicted_all,0.8364650148860263
crimes_involving_minors_all,crimes_prev_convicted_all,0.8354931328511797
population_above_working_age_pct,population_below_working_age_pct,-0.8349979620218575
crimes_alco_intoxication_serious,crimes_involving_minors_minor,0.8343050625457281
crimes_criminal_organization_all,crimes_criminal_organization_serious,0.8328029255224495
crimes_prev_committed_crimes_all,crimes_prev_convicted_moderate,0.8319798711814231
crimes_alco_intoxication_minor,crimes_prev_convicted_all,0.8311872729981705
gross_regional_product,per_capita_cash_income,0.8299718652156058
population_of_working_age,production_housing_and_utilities,0.8299254573238217
